,genre,simplified genre,simplified genre from URL
2274,"Rap East Coast, rap hardcore, gangsta rap, rap underground",rap east coast,False
2275,"Rap East Coast, rap hardcore, gangsta rap, rap underground",rap hardcore,False
2276,"Rap East Coast, rap hardcore, gangsta rap, rap underground",gangsta rap,False
2277,"Rap East Coast, rap hardcore, gangsta rap, rap underground",rap underground,False
2278,http://fr.dbpedia.org/resource/Chaâbi_algérien,chaâbi algerien,True
2279,Swing,swing,False
2280,"Electro, house, progressive, trance",electro,False
2281,"Electro, house, progressive, trance",house,False
2282,"Electro, house, progressive, trance",progressive,False
2283,"Electro, house, progressive, trance",trance,False
2284,http://fr.dbpedia.org/resource/Crossover_(musique),crossover (musique),True
2285,http://fr.dbpedia.org/resource/Classique,classique,True
2286,dance pop / funk,dance pop ,False
2287,dance pop / funk,funk,False
2288,http://fr.dbpedia.org/resource/Ska,ska,True
2289,http://fr.dbpedia.org/resource/Cadien,cadien,True
2290,http://fr.dbpedia.org/resource/Drum_and_bass,drum and bass,True
2291,http://fr.dbpedia.org/resource/Death_metal_symphonique,death metal symphonique,True
2292,"Rock japonais, punk rock",rock japonais,False
2293,"Rock japonais, punk rock",punk rock,False
2294,http://fr.dbpedia.org/resource/Flamenco,flamenco,True
2295,http://fr.dbpedia.org/resource/Mélodie_(genre),melodie (genre),True
2296,http://fr.dbpedia.org/resource/Chœur_(musique),chœur (musique),True
2297,http://fr.dbpedia.org/resource/Musique_de_chambre,musique de chambre,True
2298,http://fr.dbpedia.org/resource/Orchestre,orchestre,True
2299,http://fr.dbpedia.org/resource/Piano,piano,True
2300,http://fr.dbpedia.org/resource/Coupé_décalé,coupe decale,True
2301,Musique populaire,musique populaire,False
2302,http://fr.dbpedia.org/resource/Indie-rock,indie-rock,True
2303,http://fr.dbpedia.org/resource/Euro_disco,euro disco,True
2304,http://fr.dbpedia.org/resource/Electro_swing,electro swing,True
2305,"http://fr.dbpedia.org/resource/House_Vocal,_Soulful,_Electro",house vocal,True
2306,"http://fr.dbpedia.org/resource/House_Vocal,_Soulful,_Electro", soulful,True
2307,"http://fr.dbpedia.org/resource/House_Vocal,_Soulful,_Electro", electro,True
2308,Indie-rock,indie-rock,False
2309,http://fr.dbpedia.org/resource/Drone_(musique),drone (musique),True
2310,http://fr.dbpedia.org/resource/Chansons_polyphoniques_néerlandaises,chansons polyphoniques neerlandaises,True
2311,Chanson,chanson,False
2312,http://fr.dbpedia.org/resource/K-pop,k-pop,True
2313,http://fr.dbpedia.org/resource/Jazz-fusion,jazz-fusion,True
2314,http://fr.dbpedia.org/resource/Rock_US,rock us,True
2315,"Pop, dance",pop,False
2316,"Pop, dance",dance,False
2317,"Mandopop, J-fusion",mandopop,False
2318,"Mandopop, J-fusion",j-fusion,False
2319,http://fr.dbpedia.org/resource/Reggae_burkinabé,reggae burkinabe,True
2320,http://fr.dbpedia.org/resource/Messe,messe,True
2321,http://fr.dbpedia.org/resource/Cantate,cantate,True
2322,http://fr.dbpedia.org/resource/Metal_instrumental,metal instrumental,True
2323,http://fr.dbpedia.org/resource/Shred,shred,True
2324,http://fr.dbpedia.org/resource/Punk-rock,punk-rock,True
2325,http://fr.dbpedia.org/resource/Western_swing,western swing,True
2326,http://fr.dbpedia.org/resource/Americana_(musique),americana (musique),True
2327,Musique traditionnelle occitane,musique traditionnelle occitane,False
2328,"Blues, folk rock, acoustique",blues,False
2329,"Blues, folk rock, acoustique",folk rock,False
2330,"Blues, folk rock, acoustique",acoustique,False
2331,"Punk, rock, pop",punk,False
2332,"Punk, rock, pop",rock,False
2333,"Punk, rock, pop",pop,False
2334,http://fr.dbpedia.org/resource/Musique_mandingue,musique mandingue,True
2335,http://fr.dbpedia.org/resource/Anison,anison,True
2336,http://fr.dbpedia.org/resource/JPop,jpop,True
